"name","layout","mana_cost","cmc","colors","color_identity","names","type","supertypes","subtypes","types","rarity","text","flavor","artist","number","power","toughness","loyalty","multiverse_id","variations","watermark","border","timeshifted","hand","life","release_date","starter","printings","original_text","original_type","source","image_url","set","set_name","id","legalities","rulings","foreign_names"
"Hero of Precinct One","normal","{1}{W}","2.0","['White']","['W']","","Creature — Human Warrior","[]","['Human', 'Warrior']","['Creature']","Rare","Whenever you cast a multicolored spell, create a 1/1 white Human creature token.","When the established order falters, what remains are ordinary people and their struggle to survive.","Bram Sels","11","2","2","","457155","","","","","","","","","['RNA']","Whenever you cast a multicolored spell, create a 1/1 white Human creature token.","Creature — Human Warrior","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457155&type=card","RNA","Ravnica Allegiance","113a7593-ae16-512c-8f58-94d110ab54d9","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'The triggered ability of Hero of Precinct One resolves before the spell that caused it to trigger. It resolves even if that spell is countered.'}]","[]"
"Impassioned Orator","normal","{1}{W}","2.0","['White']","['W']","","Creature — Human Cleric","[]","['Human', 'Cleric']","['Creature']","Common","Whenever another creature enters the battlefield under your control, you gain 1 life.","In times of unrest, the crowd is eager for the comfort of strong convictions.","Mark Zug","12","2","2","","457156","","","","","","","","","['RNA']","Whenever another creature enters the battlefield under your control, you gain 1 life.","Creature — Human Cleric","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457156&type=card","RNA","Ravnica Allegiance","77b02422-5b39-5da5-9824-8221ca373b55","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Justiciar's Portal","normal","{1}{W}","2.0","['White']","['W']","","Instant","[]","[]","['Instant']","Common","Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.","With the new guildmaster's innovations, arresters can arrive on the scene moments before a crime is committed.","Micah Epstein","13","","","","457157","","","","","","","","","['RNA']","Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457157&type=card","RNA","Ravnica Allegiance","c482ed65-c04f-5549-9967-77188b777e22","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Once the exiled creature returns, it’s considered a new object with no relation to the object that it was. Auras attached to the exiled creature will be put into their owners’ graveyards. Equipment attached to the exiled creature will become unattached and remain on the battlefield. Any counters on the exiled creature will cease to exist.'}, {'date': '2019-01-25', 'text': 'The creature returns untapped unless another effect causes it to enter the battlefield tapped.'}, {'date': '2019-01-25', 'text': 'The returned card won’t be the target of any spells or abilities that targeted it before. Spells that don’t target, such as Kaya’s Wrath, may still affect it.'}, {'date': '2019-01-25', 'text': 'If a token is exiled this way, it will cease to exist and won’t return to the battlefield.'}]","[]"
"Knight of Sorrows","normal","{4}{W}","5.0","['White']","['W']","","Creature — Human Knight","[]","['Human', 'Knight']","['Creature']","Common","Knight of Sorrows can block an additional creature each combat.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","The helmet reveals no eyes to witness your penance, no mouth to offer absolution.","Zezhou Chen","14","3","3","","457158","","orzhov","","","","","","","['RNA']","Knight of Sorrows can block an additional creature each combat.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","Creature — Human Knight","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457158&type=card","RNA","Ravnica Allegiance","60d043f1-116b-5f09-9c82-be6e77064546","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Because blockers are chosen all at once, you can’t block with a creature with afterlife, wait for it to die, then block with the resulting Spirit tokens.'}]","[]"
"Lumbering Battlement","normal","{4}{W}","5.0","['White']","['W']","","Creature — Beast","[]","['Beast']","['Creature']","Rare","Vigilance
When Lumbering Battlement enters the battlefield, exile any number of other nontoken creatures you control until it leaves the battlefield.
Lumbering Battlement gets +2/+2 for each card exiled with it.","","Simon Dominic","15","4","5","","457159","","","","","","","","","['RNA']","Vigilance
When Lumbering Battlement enters the battlefield, exile any number of other nontoken creatures you control until it leaves the battlefield.
Lumbering Battlement gets +2/+2 for each card exiled with it.","Creature — Beast","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457159&type=card","RNA","Ravnica Allegiance","162dfea9-85a8-5ba4-85f8-1cec6d622476","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If Lumbering Battlement leaves the battlefield before its triggered ability resolves, you can’t exile any nontoken creatures.'}, {'date': '2019-01-25', 'text': 'Auras attached to the exiled creatures will be put into their owners’ graveyards. Any Equipment will become unattached and remain on the battlefield. Any counters on the exiled creatures will cease to exist. When the cards return to the battlefield, they will be new objects with no connection to the cards that were exiled.'}, {'date': '2019-01-25', 'text': 'If a card you chose to exile leaves exile or somehow never moved to the exile zone in the first place, Lumbering Battlement doesn’t get +2/+2 for that card.'}]","[]"
"Ministrant of Obligation","normal","{2}{W}","3.0","['White']","['W']","","Creature — Human Cleric","[]","['Human', 'Cleric']","['Creature']","Uncommon","Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)","When the price of your sins comes due, the Church of Deals is there to collect.","Bastien L. Deharme","16","2","1","","457160","","orzhov","","","","","","","['RNA']","Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)","Creature — Human Cleric","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457160&type=card","RNA","Ravnica Allegiance","e1c608f1-e800-50ff-b627-f5bd848e3db4","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Because blockers are chosen all at once, you can’t block with a creature with afterlife, wait for it to die, then block with the resulting Spirit tokens.'}]","[]"
"Prowling Caracal","normal","{1}{W}","2.0","['White']","['W']","","Creature — Cat","[]","['Cat']","['Creature']","Common","","A hunter in the city requires the utmost cunning to survive. It must pounce only if the kill is certain, and leave the remains where no one will see.","Jonathan Kuo","17","3","1","","457161","","","","","","","","","['RNA']","","Creature — Cat","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457161&type=card","RNA","Ravnica Allegiance","24a85549-a84c-561f-a02e-f3290affd56e","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Rally to Battle","normal","{3}{W}","4.0","['White']","['W']","","Instant","[]","[]","['Instant']","Uncommon","Creatures you control get +1/+3 until end of turn. Untap them.","The guildmasters loom large in the political sphere, but in the end, the rulers of Ravnica are its people.","Ben Wootten","18","","","","457162","","","","","","","","","['RNA']","Creatures you control get +1/+3 until end of turn. Untap them.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457162&type=card","RNA","Ravnica Allegiance","76fe8130-4b8e-526d-b27b-090b43911378","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Creatures you control that are already untapped get +1/+3, even though they can’t be untapped again.'}]","[]"
"Resolute Watchdog","normal","{W}","1.0","['White']","['W']","","Creature — Hound","[]","['Hound']","['Creature']","Uncommon","Defender
{1}, Sacrifice Resolute Watchdog: Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","A friend in good times, a guardian in bad times, and a savior when all else fails.","Milivoj Ćeran","19","1","3","","457163","","","","","","","","","['RNA']","Defender
{1}, Sacrifice Resolute Watchdog: Target creature you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","Creature — Hound","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457163&type=card","RNA","Ravnica Allegiance","45ed517b-fb5f-50a7-8277-cf57279886bb","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Resolute Watchdog can be the target of its own ability. The ability won’t resolve since it won’t have a legal target, and no creature will gain indestructible, but this does allow you to sacrifice Resolute Watchdog without another creature to target if you want to.'}]","[]"
"Sentinel's Mark","normal","{1}{W}","2.0","['White']","['W']","","Enchantment — Aura","[]","['Aura']","['Enchantment']","Uncommon","Flash
Enchant creature
Enchanted creature gets +1/+2 and has vigilance.
Addendum — When Sentinel's Mark enters the battlefield, if you cast it during your main phase, enchanted creature gains lifelink until end of turn.","","Zezhou Chen","20","","","","457164","","azorius","","","","","","","['RNA']","Flash
Enchant creature
Enchanted creature gets +1/+2 and has vigilance.
Addendum — When Sentinel's Mark enters the battlefield, if you cast it during your main phase, enchanted creature gains lifelink until end of turn.","Enchantment — Aura","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457164&type=card","RNA","Ravnica Allegiance","c56af8ab-db24-5762-a3bf-321c0a2ddb6b","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If Sentinel’s Mark enters the battlefield without being cast, the addendum ability won’t trigger, even if it’s your main phase.'}, {'date': '2019-01-25', 'text': 'Gaining vigilance any time after the moment you choose to attack with a creature won’t cause it to become untapped, and losing vigilance after that time won’t cause it to become tapped.'}, {'date': '2019-01-25', 'text': 'Multiple instances of lifelink on the same creature are redundant.'}]","[]"
"Sky Tether","normal","{W}","1.0","['White']","['W']","","Enchantment — Aura","[]","['Aura']","['Enchantment']","Uncommon","Enchant creature
Enchanted creature has defender and loses flying.","""If you can't control your mount, I will control it for you.""
—Mirela, Azorius hussar","Zezhou Chen","21","","","","457165","","","","","","","","","['RNA']","Enchant creature
Enchanted creature has defender and loses flying.","Enchantment — Aura","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457165&type=card","RNA","Ravnica Allegiance","09dbb8df-792b-5b86-a8cb-0d86c861c8a9","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Sky Tether can enchant a creature that never had flying at all.'}, {'date': '2019-01-25', 'text': 'The enchanted creature can later gain flying from another effect.'}]","[]"
"Smothering Tithe","normal","{3}{W}","4.0","['White']","['W']","","Enchantment","[]","[]","['Enchantment']","Rare","Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color.""","""I await your donation.""
—Dasha, Orzhov priest","Mark Behm","22","","","","457166","","","","","","","","","['RNA']","Whenever an opponent draws a card, that player may pay {2}. If the player doesn't, you create a colorless Treasure artifact token with ""{T}, Sacrifice this artifact: Add one mana of any color.""","Enchantment","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457166&type=card","RNA","Ravnica Allegiance","a820e4ef-7657-506a-81f7-a98a6cf39eeb","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'If an opponent is instructed to draw multiple cards, that player draws all of them before deciding how many times to pay for Smothering Tithe’s triggered ability.'}]","[]"
"Spirit of the Spires","normal","{3}{W}","4.0","['White']","['W']","","Creature — Spirit","[]","['Spirit']","['Creature']","Uncommon","Flying
Other creatures you control with flying get +0/+1.","She breathes fair winds to tired griffins and lifts songbirds beyond the reach of stalking cats.","Yeong-Hao Han","23","2","4","","457167","","","","","","","","","['RNA']","Flying
Other creatures you control with flying get +0/+1.","Creature — Spirit","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457167&type=card","RNA","Ravnica Allegiance","14a0de51-af1e-5ee9-ae7b-96a4e639cb1d","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Because damage remains marked on a creature until it’s removed as the turn ends, nonlethal damage dealt to other creatures you control with flying may become lethal if Spirit of the Spires leaves the battlefield during that turn.'}]","[]"
"Summary Judgment","normal","{1}{W}","2.0","['White']","['W']","","Instant","[]","[]","['Instant']","Common","Summary Judgment deals 3 damage to target tapped creature.
Addendum — If you cast this spell during your main phase, it deals 5 damage to that creature instead.","Any challenge to Azorius authority is met with swift and potent retribution.","Deruchenko Alexander","24","","","","457168","","azorius","","","","","","","['RNA']","Summary Judgment deals 3 damage to target tapped creature.
Addendum — If you cast this spell during your main phase, it deals 5 damage to that creature instead.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457168&type=card","RNA","Ravnica Allegiance","96de1188-4490-53e6-ad11-b447f62df942","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Addendum abilities of instant spells apply while the spell is resolving, not immediately after casting it. If the spell is countered, you don’t get the addendum bonus. For example, if you cast Sphinx’s Insight during your main phase, you gain 2 life during its resolution, after you draw two cards.'}, {'date': '2019-01-25', 'text': 'If a spell with an addendum ability is copied, the copy won’t give you the addendum bonus. This is because the copy wasn’t cast at all.'}]","[]"
"Syndicate Messenger","normal","{3}{W}","4.0","['White']","['W']","","Creature — Bird","[]","['Bird']","['Creature']","Common","Flying
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","""Many wings haunt the skies these days. Few of them bear good tidings.""
—Lavinia","Viktor Titov","25","2","3","","457169","","orzhov","","","","","","","['RNA']","Flying
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","Creature — Bird","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457169&type=card","RNA","Ravnica Allegiance","d3914518-91ad-5438-836e-8bc089493462","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Because blockers are chosen all at once, you can’t block with a creature with afterlife, wait for it to die, then block with the resulting Spirit tokens.'}]","[]"
"Tenth District Veteran","normal","{2}{W}","3.0","['White']","['W']","","Creature — Human Soldier","[]","['Human', 'Soldier']","['Creature']","Common","Vigilance
Whenever Tenth District Veteran attacks, untap another target creature you control.","""I keep reminding myself we do this because others can't, because we love this city. If we don't save it, no one will.""","Volkan Baga","26","2","3","","457170","","","","","","","","","['RNA']","Vigilance
Whenever Tenth District Veteran attacks, untap another target creature you control.","Creature — Human Soldier","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457170&type=card","RNA","Ravnica Allegiance","574d693b-d57b-53b0-9012-e160b957945c","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Untapping an attacking creature doesn’t remove it from combat.'}]","[]"
"Tithe Taker","normal","{1}{W}","2.0","['White']","['W']","","Creature — Human Soldier","[]","['Human', 'Soldier']","['Creature']","Rare","During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","","Aaron Miller","27","2","1","","457171","","orzhov","","","","","","","['RNA']","During your turn, spells your opponents cast cost {1} more to cast and abilities your opponents activate cost {1} more to activate unless they're mana abilities.
Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)","Creature — Human Soldier","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457171&type=card","RNA","Ravnica Allegiance","ef0e40ca-2bd4-59a2-90fb-cfcd4fd683bc","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Activated abilities contain a colon. They’re generally written “[Cost]: [Effect].” Some keyword abilities are activated abilities and will have colons in their reminder text. An activated mana ability is one that produces mana as it resolves, not one that costs mana to activate. Triggered abilities (starting with “when,” “whenever,” or “at”) are unaffected by Tithe Taker.'}, {'date': '2019-01-25', 'text': 'To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying, add any cost increases (such as that of Tithe Taker’s effect), then apply any cost reductions. The converted mana cost of the spell remains unchanged, no matter what the total cost to cast it was.'}, {'date': '2019-01-25', 'text': 'An opponent’s activated ability that costs no mana to activate will cost {1} plus its non-mana costs during your turn.'}, {'date': '2019-01-25', 'text': 'Because blockers are chosen all at once, you can’t block with a creature with afterlife, wait for it to die, then block with the resulting Spirit tokens.'}]","[]"
"Twilight Panther","normal","{W}","1.0","['White']","['B', 'W']","","Creature — Cat Spirit","[]","['Cat', 'Spirit']","['Creature']","Common","{B}: Twilight Panther gains deathtouch until end of turn.","A pet that can hunt both flesh and spirit is precious in a place where smiling assassins keep company with ghostly shadows.","Uriah Voth","28","1","2","","457172","","orzhov","","","","","","","['RNA']","{B}: Twilight Panther gains deathtouch until end of turn.","Creature — Cat Spirit","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457172&type=card","RNA","Ravnica Allegiance","6e6a14e5-61b9-56e2-828c-2927f5574f17","[{'format': 'Future', 'legality': 'Legal'}]","[]","[]"
"Unbreakable Formation","normal","{2}{W}","3.0","['White']","['W']","","Instant","[]","[]","['Instant']","Rare","Creatures you control gain indestructible until end of turn.
Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.","","Matt Stewart","29","","","","457173","","azorius","","","","","","","['RNA']","Creatures you control gain indestructible until end of turn.
Addendum — If you cast this spell during your main phase, put a +1/+1 counter on each of those creatures and they gain vigilance until end of turn.","Instant","","http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=457173&type=card","RNA","Ravnica Allegiance","18fcd01a-9ea5-5fe0-b654-bc62794972a1","[{'format': 'Future', 'legality': 'Legal'}]","[{'date': '2019-01-25', 'text': 'Unbreakable Formation affects only creatures you control at the time it resolves. Creatures you begin to control later in the turn won’t gain indestructible or vigilance and they won’t get a +1/+1 counter.'}, {'date': '2019-01-25', 'text': 'Addendum abilities of instant spells apply while the spell is resolving, not immediately after casting it. If the spell is countered, you don’t get the addendum bonus. For example, if you cast Sphinx’s Insight during your main phase, you gain 2 life during its resolution, after you draw two cards.'}, {'date': '2019-01-25', 'text': 'If a spell with an addendum ability is copied, the copy won’t give you the addendum bonus. This is because the copy wasn’t cast at all.'}]","[]"
